ID,Species,Fry,Date,Sex,Mass (g),SL (hand-mm),SL (mm),Depth (mm),Partner,Relative Size,Round,Category,Dif Mass,Dif SL (H),Dif SL,Dif Dep,Shim,App,Out,Part,In,Shim_Dif,App_Dif,Out_Dif,Part_Dif,In_Dif,T,E2,Pr,11KT
JTRF09,transcriptus,No,20210914,Male,4.5,60,62.582,12.743,JTRM11,Bigger,2,S_B,1.18,7,8.23,1.13,4,13,896,146,158,-18,-8,776,-577,-201,81,34,194,31
JTRF09,transcriptus,No,20210701,Male,4.8,60,63.024,13.213,JTRM07,Smaller,1,S_B,-1.24,-6,-7.93,-1.16,11,16,276,487,437,3,7,-393,215,179,18,20,220,34
JTRF12,transcriptus,No,20210819,Male,4.28,57,62.068,11.95,JTRM10,Bigger,1,B_S,0.49,2,2.49,-0.49,2,42,908,144,147,-24,-19,866,-415,-449,123,48,276,38
JTRF12,transcriptus,No,20210907,Male,4.25,59,61.196,11.85,JTRM12,Smaller,2,B_S,-3.24,-11,-10.47,-3.56,9,24,389,297,515,9,21,-635,242,397,115,42,284,20
JTRF13,transcriptus,No,20210907,Male,3.43,57,60.404,11.296,JTRM09,Bigger,1,B_S,-0.08,3,2.05,0.01,3,6,501,186,378,-6,2,-372,37,200,91,18,141,44
JTRF13,transcriptus,No,20210928,Male,3.68,57,59.393,11.343,JTRM12,Smaller,2,B_S,-3.85,-13,-12.57,-3.76,10,5,161,839,199,7,-1,-494,790,-293,107,21,262,43
JTRM01,transcriptus,No,20210603,Female,3.16,53,56.478,11.21,JTRF06,Bigger,2,S_B,1.14,6,9.1,2.04,0,5,678,302,221,0,-3,678,184,-862,373,253,407,30
JTRM01,transcriptus,No,20210513,Female,3.32,53,56.721,12.523,JTRF01,Smaller,1,S_B,-0.72,-4,-2.63,-0.05,1,13,0,102,1098,1,7,-1136,92,1044,323,483,830,36
JTRM02,transcriptus,No,20210701,Female,2.89,52,53.612,11.57,JTRF06,Bigger,2,S_B,0.87,6,2.37,1.39,3,13,747,187,265,-18,3,745,-22,-724,399,765,573,43
JTRM02,transcriptus,No,20210513,Female,2.86,51,53.311,11.618,JTRF02,Smaller,1,S_B,-1.15,-5,-5.55,-0.36,12,38,0,311,888,11,5,-385,-147,540,129,353,389,28
JTRM06,transcriptus,No,20210729,Female,2.78,50,51.56,10.72,JTRF10,Bigger,2,S_B,0.9,6,5.68,1.53,18,25,949,99,151,13,-4,346,-140,-207,432,1740,247,31
JTRM06,transcriptus,No,20210603,Female,2.64,50,51.348,10.994,JTRF04,Smaller,1,S_B,-0.95,-5,-8.19,-0.57,11,4,17,158,1025,5,-18,-73,-702,776,326,436,529,26
JTRM09,transcriptus,No,20210819,Female,3.24,54,57.93,11.352,JTRF11,Bigger,1,B_S,0.8,4,6.69,1.18,0,7,1184,11,5,-5,-4,669,-354,-315,378,2071,488,35
JTRM09,transcriptus,No,20210907,Female,3.51,54,58.358,11.281,JTRF13,Smaller,2,B_S,0.08,-3,-2.05,-0.01,9,4,873,149,178,6,-2,372,-37,-200,305,908,350,26
JTRX01,transcriptus,Yes,20230130,Female,2.82,53,52.538,11.904,JTRY01,Bigger,1,B_S,0.59,5,3.079,1.002,48,41,0,187,1011,33,-69,-343,107,237,303,1127,999,56
JTRX01,transcriptus,Yes,20230315,Female,2.8,52,53.432,11.915,JTRY03,Smaller,2,B_S,-1.14,-5,-3.644,-1.515,16,12,7,175,1015,15,-1,-1101,145,959,214,165,847,37
JTRX02,transcriptus,No,20230208,Female,3.73,53,53.568,13.166,JTRY02,Bigger,1,B_S,1.43,6,5.249,2.425,14,46,1065,10,124,-1,29,471,-185,-286,160,207,311,76
JTRX02,transcriptus,Yes,20230512,Female,3.82,54,54.507,13.661,JTRY04,Smaller,2,B_S,-0.49,-3,-4.767,-0.334,0,3,275,199,723,0,-9,-769,181,588,73,428,389,18
JTRX03,transcriptus,No,20230602,Female,3.07,52,53.634,12.523,JTRY02,Bigger,2,S_B,0.53,5,2.767,1.299,1,4,990,72,138,-1,0,36,-58,22,217,128,874,52
JTRX03,transcriptus,Yes,20230512,Female,3.17,52,52.119,12.386,JTRY05,Smaller,1,S_B,-0.86,-5,-6.333,-0.806,0,4,1040,2,158,0,-11,626,-423,-199,339,1439,676,30
JTRX04,transcriptus,Yes,20230512,Female,3.53,52,51.919,12.757,JTRY01,Bigger,1,B_S,1.02,3,1.971,1.815,3,39,859,61,279,1,3,-100,4,94,219,445,1039,50
JTRX04,transcriptus,Yes,20230607,Female,4.18,55,58.33,14.891,JTRY05,Smaller,2,B_S,-0.26,-6,-4.091,0.291,54,17,0,0,1200,54,6,-475,-303,788,181,217,460,25
JTRY03,transcriptus,Yes,20230315,Male,3.94,57,57.076,13.43,JTRX01,Bigger,1,B_S,1.14,5,3.644,1.515,1,13,1108,30,56,-15,1,1101,-145,-959,159,59,375,160
JTRY03,transcriptus,No,20230602,Male,4.31,58,61.307,13.283,JTRX05,Smaller,2,B_S,-1.67,-5,-2.973,-2.604,0,20,1182,9,9,0,0,0,0,0,204,40,371,132
